objid,ra,dec,u,g,r,i,z,class,redshift
1237645879579967591,54.92850031,1.27188765,20.771816,18.526823,17.39205,16.887115,16.500648,GALAXY,0.131787
1237645879580098737,55.296197,1.27169206,20.190552,20.111183,20.003725,19.536736,19.366606,QSO,1.837838
1237645942904389827,54.55073196,0.22021366,20.658936,19.767363,20.112465,19.77129,19.810503,GALAXY,0.04265
1237645942904389833,54.55577638,0.22324706,22.210409,19.843256,18.377989,17.1264,16.440516,STAR,-1.077839E-4
1237645942904455278,54.68342437,0.21691857,20.798119,19.537325,19.040367,18.827971,18.753901,STAR,-6.275329E-5
1237645942904455343,54.77697993,0.22333593,19.811171,18.293016,17.66375,17.406536,17.313686,STAR,-1.315128E-4
1237645942904455388,54.77231234,0.21669791,23.149855,21.047117,19.651167,18.863165,18.420359,STAR,3.130087E-4
1237645942904520909,54.91112193,0.22073581,22.029467,19.258709,17.757582,17.045492,16.622946,STAR,-1.234244E-5
1237645942904520914,54.92363403,0.22191822,23.417223,20.025459,18.519623,17.801823,17.410696,STAR,-1.354448E-4
1237645942904520927,54.93678732,0.21679761,21.300598,19.02486,17.60062,17.046255,16.697212,GALAXY,0.201277
1237645942904586466,55.10638061,0.21922051,20.484631,19.062418,18.490078,18.275587,18.225275,STAR,1.493801E-4
1237645942904717681,55.27612957,0.21755849,23.351311,22.567802,20.947292,20.030153,19.648624,GALAXY,0.508339
1237645943978197335,54.66265703,1.04697491,20.927685,20.844166,20.296228,19.963707,19.676189,GALAXY,0.264301
1237645943978328086,54.97783952,0.97407368,24.906109,21.585209,20.514336,18.947655,18.376245,STAR,2.42097E-4
1237645943978328096,54.98147707,0.98557865,25.643265,21.546497,19.785593,19.050629,18.628712,GALAXY,0.404593
1237645943978328116,55.02559544,1.04687953,19.646221,18.451717,18.02615,17.65247,17.575016,GALAXY,0.097651
1237645943978328117,55.02501458,1.0429062,20.291294,18.784485,18.273584,17.889645,17.694752,GALAXY,0.097569
1237645943978328209,54.98832977,0.92120066,20.09477,19.9256,19.663021,19.55558,19.50878,QSO,1.242289
1237645943978328218,55.00197423,0.99855836,19.734856,18.545963,18.099272,17.911163,17.82445,STAR,2.437883E-4
1237645943978328242,55.03778211,0.93528159,21.29953,20.134922,19.48414,19.246798,19.097187,GALAXY,0.271119
1237645943978328243,55.03675592,0.93509937,24.929003,22.962452,21.369446,20.090851,19.433752,STAR,-1.337186E-4
1237645943978328289,55.05316751,0.88587416,18.976685,17.534395,17.041773,16.80851,16.660803,GALAXY,0.038777
1237645943978328300,55.09067024,0.92730887,20.017714,19.23896,18.52352,18.177853,17.897409,GALAXY,0.253204
1237645943978328334,54.98674442,1.01996014,21.95771,21.706049,21.386984,21.043348,21.54398,GALAXY,0.493432
1237645943978328345,55.029701,0.9922315,20.93877,19.780519,18.90818,18.560831,18.259155,GALAXY,0.267266
1237645943978328347,55.03377731,0.92084628,21.826508,20.770559,19.722633,19.335228,18.981823,GALAXY,0.321683
1237645943978328358,55.0681787,0.9964242,20.854708,20.580564,20.122757,20.052635,20.424698,QSO,1.170371
1237645943978328360,55.06984279,0.9625284,21.83922,20.774757,20.621185,20.615553,20.782745,STAR,-2.652884E-4
1237645943978328364,55.10118767,0.95801375,21.347902,20.450523,19.569399,19.24375,19.07299,GALAXY,0.250892
1237645943978328381,54.96057661,0.91555188,23.138336,21.988571,20.131393,19.399887,18.971117,GALAXY,0.4065
1237645943978328408,54.96955732,0.88614345,21.31378,20.304632,19.237099,18.763369,18.415991,GALAXY,0.360147
1237645943978328529,55.02386498,0.95314222,24.249826,21.681116,20.452236,19.976597,19.666224,STAR,3.490268E-5
1237645943978328568,55.04090791,0.96535609,22.414793,22.220205,20.720341,19.866915,19.407713,GALAXY,0.535052
1237645943978328664,55.07817742,0.94783695,26.329557,21.728844,20.013321,19.385609,18.93882,GALAXY,0.407517
1237645943978328742,55.10666293,0.95487927,24.194281,22.20602,21.076447,19.940289,19.254898,GALAXY,0.61338
1237645943978393614,55.14054397,0.89611822,19.287987,17.768518,17.1383,16.878981,16.740253,STAR,-2.791188E-5
1237645943978393681,55.25578886,0.89802618,17.429817,17.810766,18.246986,18.562855,18.888353,STAR,5.343613E-5
1237645943978393683,55.11086684,0.89260262,20.610085,19.468166,18.963356,18.65814,18.475689,GALAXY,0.040547
1237645943978393685,55.11606188,0.90012073,21.638367,19.208048,18.021923,17.52013,17.244598,STAR,9.345642E-5
1237645943978393694,55.1236253,0.87248721,18.282524,16.520931,15.609233,15.087333,14.627639,GALAXY,0.040687
1237645943978393716,55.15570302,0.88975118,20.550381,17.98778,16.864914,16.442806,16.198177,STAR,-3.839658E-5
1237645943978393752,55.20333274,0.95411881,20.499033,17.880716,16.698357,16.2316,15.976528,STAR,9.677671E-5
1237645943978393757,55.21639253,1.02313559,22.123014,20.169441,19.354599,19.038334,18.740551,STAR,-2.601409E-6
1237645943978393777,55.25387442,0.95823589,19.756941,18.420944,17.808123,17.551687,17.416277,STAR,2.346734E-4
1237645943978393792,55.13321241,0.88203104,22.931463,20.118876,18.539825,18.017452,17.676979,GALAXY,0.268031
1237645943978393802,55.16771563,0.88525771,23.029839,20.299366,18.794933,18.233141,17.892452,GALAXY,0.268334
1237645943978393865,55.18595416,1.00948406,26.058781,22.537951,20.847708,19.613831,19.172413,GALAXY,0.573384
1237645943978393919,55.22700508,0.9302118,20.488808,19.39225,18.904232,18.607201,18.544268,GALAXY,0.138605
1237645943978393968,55.11889159,0.89425946,21.987503,20.89897,19.741558,19.282732,18.910597,GALAXY,0.267145
1237645943978393995,55.13097716,0.8944462,25.337345,22.396557,20.460789,19.558517,19.112989,GALAXY,0.501004
1237645943978394040,55.14689074,0.9581782,23.442936,22.456188,21.935474,21.79558,21.62631,STAR,3.118644E-3
1237645943978394050,55.14652368,1.0128594,22.174404,21.185631,19.404123,18.721972,18.275763,GALAXY,0.416832
1237645943978394060,55.15143268,0.93037237,23.427847,22.502327,22.226164,22.084141,21.97398,GALAXY,0.828088
1237645943978394068,55.15362487,1.03941891,24.774509,21.940248,20.168352,19.521982,19.216734,GALAXY,0.418724
1237645943978394188,55.20249372,0.91843318,23.241632,22.381922,20.936058,20.347351,20.04969,STAR,-1.136804E-4
1237645943978394262,55.24292453,0.98794626,21.624647,19.848448,19.40167,19.15917,19.273575,GALAXY,0.138855
1237645943978394282,55.25519375,0.99112086,23.379845,22.110111,21.682009,21.504595,21.955959,STAR,-4.020236E-3
1237645943978459165,55.32006591,0.88342193,17.264061,16.140139,15.721783,15.560673,15.498997,STAR,5.192878E-5
1237645943978459169,55.31426571,0.85797588,24.295563,21.055803,19.121895,18.377125,18.032133,GALAXY,0.416514
1237645943978459199,55.33427706,0.91401024,17.97393,16.736095,16.261957,16.0849,16.015024,STAR,-6.695544E-5
1237645943978459202,55.33701954,0.96070193,17.323931,16.022863,15.510692,15.319597,15.253116,STAR,4.187053E-5
1237645943978459256,55.39207166,0.85793449,17.337923,16.207306,15.827626,15.689353,15.638535,STAR,-1.10981E-4
1237645943978459316,55.30158888,1.01502472,22.737059,20.359627,18.886095,17.578125,16.845415,STAR,1.634895E-4
1237645943978459322,55.30733281,0.96279736,23.398396,20.052935,18.663313,18.021084,17.64649,STAR,6.372166E-5
1237645943978459324,55.30795326,0.92221574,21.080748,18.920633,17.922991,17.55904,17.270473,STAR,-1.845669E-4
1237645943978459347,55.37032293,0.89685755,21.305887,18.591146,17.325672,16.838797,16.571497,STAR,-1.165655E-5
1237645943978459369,55.27960288,0.89229446,23.335924,20.410172,18.876945,17.90583,17.381615,STAR,2.725764E-4
1237645943978459375,55.31132302,1.03749941,23.206425,20.95747,19.017099,18.359686,17.932312,GALAXY,0.362537
1237645943978459377,55.32067194,0.87029196,21.464874,20.316122,19.29427,18.836897,18.589062,GALAXY,0.192954
1237645943978459408,55.34604973,0.92936529,24.454655,21.408857,19.613062,18.993408,18.687368,GALAXY,0.386914
1237645943978459453,55.33150901,1.02675195,20.452765,20.218828,20.022341,19.934446,19.592299,QSO,2.075482
1237645943978459496,55.26467639,0.98285871,25.322447,22.028158,20.114199,19.333382,18.767076,GALAXY,0.362869
1237645943978459523,55.27779146,0.93775047,22.229158,20.401447,19.370293,18.858873,18.531643,GALAXY,0.204967
1237645943978459531,55.28329989,0.88309666,23.287329,22.064013,21.646729,21.446959,21.181477,STAR,2.422663E-3
1237645943978459559,55.29431716,0.96537185,23.684109,22.118416,20.066587,19.237652,18.8601,GALAXY,0.48236
1237645943978459635,55.33658672,0.89269107,21.763168,20.125498,19.457724,19.105352,18.915911,GALAXY,0.167933
1237645943978459653,55.34942784,0.93566411,24.103804,22.494873,20.46422,19.595194,19.149935,GALAXY,0.556706
1237645943978459735,55.38302267,1.02303987,23.148123,22.534983,20.768808,19.792631,19.334679,GALAXY,0.484951
1237645943978459825,55.27406819,0.88587683,25.406017,23.703236,21.41938,20.367588,19.759823,GALAXY,0.570964
1237646379931926635,94.2294089,-0.81501464,18.886549,17.264822,16.531048,16.239357,16.051615,STAR,1.21665E-4
1237646379931926982,94.27762206,-0.75532006,18.943584,17.475761,16.792669,16.495045,16.303482,STAR,1.614282E-4
1237646379931927243,94.31534394,-0.7949156,18.427557,16.982901,16.796597,16.78195,16.720491,STAR,1.234912E-4
1237646379931928738,94.2507385,-0.72186558,25.863558,21.170469,19.632179,17.699295,16.606539,STAR,1.433869E-4
1237646379931992696,94.45240165,-0.74918808,18.7642,16.921125,16.04104,15.655263,15.392972,STAR,2.40879E-4
1237646379931992990,94.50127999,-0.67806906,17.207827,15.758722,15.631066,15.598379,15.562009,STAR,1.424972E-4
1237646379931993137,94.52134906,-0.77734969,18.289204,16.842203,16.689518,16.641356,16.586832,STAR,2.219844E-4
1237646379932058197,94.59816769,-0.80804697,17.690905,16.220146,15.544653,15.206223,15.05557,STAR,1.496632E-4
1237646379932059411,94.61814792,-0.66228482,19.108328,17.495092,16.733751,16.40439,16.167032,STAR,1.875587E-4
1237646379932124217,94.79921525,-0.71803424,18.184345,16.817694,16.305271,16.060455,15.913062,STAR,2.096673E-4
1237646379932124268,94.80707075,-0.78431078,18.985817,17.438332,16.701212,16.404299,16.229563,STAR,3.388054E-4
1237646379932125744,94.76049412,-0.79770337,25.439665,22.590149,22.67248,22.2666,21.96324,QSO,2.568216
1237646379932189112,94.87728201,-0.69419922,17.781378,16.381195,16.317791,16.310961,16.278254,STAR,2.47121E-4
1237646379932189343,94.89291904,-0.78635014,16.125732,15.053709,15.042885,15.099707,15.122042,STAR,2.254306E-4
1237646379932254336,94.97868188,-0.74553323,17.883144,16.597219,16.522562,16.505861,16.575426,STAR,2.070511E-4
1237646379932254887,95.03392948,-0.83734761,16.506596,15.110105,15.029395,15.055534,15.015211,STAR,1.66215E-4
1237646379932320052,95.1551946,-0.84397735,17.543571,16.152248,16.025188,16.016058,15.98047,STAR,2.118228E-4
1237646379932320240,95.17998742,-0.77151834,17.465166,15.973168,15.813422,15.780442,15.717568,STAR,2.2967E-4
1237646379932385363,95.27818926,-0.66714479,18.553221,16.990532,16.788702,16.727654,16.732298,STAR,2.24808E-4
1237646379932385478,95.29461979,-0.77023917,17.651962,16.346647,16.211544,16.19021,16.131985,STAR,2.07405E-4
1237646379932386132,95.37392372,-0.66962035,18.940926,17.308235,16.687183,16.379803,16.192461,STAR,1.086893E-4
1237646379932387357,95.38913714,-0.69679587,19.423046,17.709291,16.882248,16.488981,16.245083,STAR,1.033931E-4
1237646379932388187,95.30815078,-0.7448329,24.057095,23.55547,22.57593,21.774853,20.705433,STAR,3.33463E-3
1237646379932451129,95.46540854,-0.67416127,17.499783,15.949002,15.745208,15.664664,15.569823,STAR,2.079965E-4
1237646379932451761,95.53087151,-0.80952047,17.283625,15.781435,15.608547,15.569855,15.506439,STAR,2.331974E-4
1237646379932452508,95.48526796,-0.77529767,19.708883,17.31316,16.122147,15.559093,15.216801,STAR,2.092327E-4
1237646379932516429,95.58105263,-0.69663479,18.483488,16.992777,16.831392,16.768902,16.717886,STAR,1.780121E-4
1237646379932516467,95.57935266,-0.8373582,17.907724,16.598902,16.518753,16.524145,16.490934,STAR,1.828682E-4
1237646379932517270,95.67044221,-0.7327638,18.056211,16.508739,16.219316,16.089521,16.002176,STAR,2.008372E-4
1237646379932517460,95.71745525,-0.7652016,17.806629,16.307259,16.145733,16.105639,16.07638,STAR,6.821569E-5
1237646379932518503,95.71009318,-0.6694625,24.176802,24.687332,23.202629,21.661079,20.938742,GALAXY,0.744027
1237646379932581905,95.72428236,-0.82761688,19.488718,17.489683,16.54476,16.174599,15.916172,STAR,-1.762723E-5
1237646379932647529,95.87785317,-0.69842784,18.559454,17.002993,16.788134,16.699074,16.621698,STAR,2.061092E-4
1237646380468732721,94.18068055,-0.32703742,17.058432,15.676542,15.534142,15.517038,15.489017,STAR,1.822217E-4
1237646380468732863,94.206515,-0.2504532,17.751976,15.926477,15.195598,14.897315,14.791262,STAR,1.702254E-4
1237646380468798044,94.31040732,-0.35081748,18.407495,16.999313,16.814495,16.766378,16.707357,STAR,2.137473E-4
1237646380468799840,94.37175196,-0.2914062,22.102448,19.653284,18.185781,16.362431,15.334726,STAR,7.023686E-5
1237646380468863020,94.37760395,-0.36529441,20.620522,18.217049,17.17165,16.688269,16.575628,STAR,1.22003E-4
1237646380468863558,94.44859425,-0.40512426,19.409658,17.835321,17.532793,17.351885,17.192673,STAR,2.129269E-4
1237646380468928973,94.58458675,-0.38673887,17.782341,16.237679,16.026381,15.972298,15.907737,STAR,1.555894E-4
1237646380468929292,94.6165476,-0.25969154,18.116043,16.632734,16.461454,16.425385,16.352587,STAR,1.789011E-4
1237646380468929485,94.64087785,-0.27621336,24.95616,24.764341,23.535091,21.769201,21.470459,QSO,1.988487
1237646380468929745,94.66619266,-0.34317694,18.315958,16.941025,16.751936,16.706125,16.630505,STAR,2.386839E-4
1237646380468994663,94.73941787,-0.37440721,19.091358,17.442556,16.996662,16.788755,16.669558,STAR,1.149807E-4
1237646380468994865,94.77492939,-0.39167993,18.209732,16.690521,16.45241,16.37789,16.327412,STAR,4.165049E-4
1237646380468994991,94.80742447,-0.27720497,19.487816,17.67239,16.846302,16.499657,16.266188,STAR,5.129886E-5
1237646380469126020,95.07755638,-0.29045938,17.219198,15.765743,15.586424,15.544619,15.493112,STAR,1.658446E-4
1237646380469191122,95.18313395,-0.30871373,18.371456,16.817659,16.520582,16.441095,16.321962,STAR,2.071394E-4
